Jornada:1 ;;17-18 de Octubre de 2015;;;
A.D. Baró De Viver Benjami;-;Manyanet Sant Andreu F.S. Benjamí;;;
Jornada:17;;5 i 6 de Març de 2016;;;
Manyanet Sant Andreu F.S. Benjamí;-;Dosrius F.S. Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
F.S. Llinars Benjamí;-;Lloret Esportiu F.s. Benjami;;;
Manyanet Sant Andreu F.S. Benjamí;-;C.E.F.S. Granollers Benjamí;;;
Teià Futbol Cinc Benjamí;-;C.F.S. La Garriga Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;A.D. Baró De Viver Benjami;;;
Jornada:18;;12 i 13 de Març de 2016;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;Dosrius F.S. Benjamí;;;
Lloret Esportiu F.s. Benjami;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
C.E.F.S. Granollers Benjamí;-;F.S. Llinars Benjamí;;;
C.F.S. La Garriga Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
A.D. Baró De Viver Benjami;-;Teià Futbol Cinc Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
Jornada:19;;2 i 3 d'Abril de 2016;;;
Manyanet Sant Andreu F.S. Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
Dosrius F.S. Benjamí;-;Lloret Esportiu F.s. Benjami;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;C.E.F.S. Granollers Benjamí;;;
F.S. Llinars Benjamí;-;C.F.S. La Garriga Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;A.D. Baró De Viver Benjami;;;
Teià Futbol Cinc Benjamí;-;F.S. Olímpic Argentona Benjamí;;;
Jornada:20;;16 i 17 d'Abril de 2016;;;
Lloret Esportiu F.s. Benjami;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
C.E.F.S. Granollers Benjamí;-;Dosrius F.S. Benjamí;;;
C.F.S. La Garriga Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
A.D. Baró De Viver Benjami;-;F.S. Llinars Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
Teià Futbol Cinc Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
Jornada:21;;23 i 24 d'Abril de 2016;;;
Lloret Esportiu F.s. Benjami;-;Manyanet Sant Andreu F.S. Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;C.E.F.S. Granollers Benjamí;;;
Dosrius F.S. Benjamí;-;C.F.S. La Garriga Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;A.D. Baró De Viver Benjami;;;
F.S. Llinars Benjamí;-;F.S. Olímpic Argentona Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;Teià Futbol Cinc Benjamí;;;
Jornada:22;;30 i 1 de Maig de 2016;;;
C.E.F.S. Granollers Benjamí;-;Lloret Esportiu F.s. Benjami;;;
C.F.S. La Garriga Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
A.D. Baró De Viver Benjami;-;Dosrius F.S. Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
Teià Futbol Cinc Benjamí;-;F.S. Llinars Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
